Крок    t       psi(t)   i(t)        e(t)  psi(t+dt) 
   0  0.00000   0.0120   0.0011  236.75216   0.0120 
   1  0.00005   0.0200   0.0018  160.07840   0.0200 
   2  0.00010   0.0283   0.0026  163.26787   0.0283 
   3  0.00015   0.0367   0.0033  166.40760   0.0367 
   4  0.00020   0.0452   0.0041  169.49664   0.0452 
   5  0.00025   0.0540   0.0049  172.53405   0.0540 
   6  0.00030   0.0628   0.0057  175.51891   0.0628 
   7  0.00035   0.0718   0.0065  178.45030   0.0718 
   8  0.00040   0.0810   0.0074  181.32734   0.0810 
   9  0.00045   0.0903   0.0082  184.14914   0.0903 
  10  0.00051   0.0997   0.0091  186.91484   0.0997 
  11  0.00056   0.1093   0.0099  189.62361   0.1093 
  12  0.00061   0.1190   0.0108  192.27462   0.1190 
  13  0.00066   0.1288   0.0117  194.86706   0.1288 
  14  0.00071   0.1387   0.0126  197.40015   0.1387 
  15  0.00076   0.1488   0.0136  199.87310   0.1488 
  16  0.00081   0.1590   0.0145  202.28517   0.1590 
  17  0.00086   0.1693   0.0155  204.63562   0.1693 
  18  0.00091   0.1798   0.0164  206.92374   0.1798 
  19  0.00096   0.1903   0.0174  209.14882   0.1903 
  20  0.00101   0.2010   0.0184  211.31020   0.2010 
  21  0.00106   0.2117   0.0194  213.40721   0.2117 
  22  0.00111   0.2226   0.0204  215.43921   0.2226 
  23  0.00116   0.2335   0.0215  217.40559   0.2335 
  24  0.00121   0.2446   0.0225  219.30575   0.2446 
  25  0.00126   0.2557   0.0236  221.13910   0.2557 
  26  0.00131   0.2670   0.0247  222.90509   0.2670 
  27  0.00136   0.2783   0.0258  224.60318   0.2783 
  28  0.00141   0.2897   0.0270  226.23286   0.2897 
  29  0.00146   0.3011   0.0282  227.79362   0.3011 
  30  0.00152   0.3127   0.0294  229.28500   0.3127 
  31  0.00157   0.3243   0.0306  230.70653   0.3243 
  32  0.00162   0.3360   0.0319  232.05779   0.3360 
  33  0.00167   0.3477   0.0332  233.33836   0.3477 
  34  0.00172   0.3596   0.0346  234.54785   0.3596 
  35  0.00177   0.3714   0.0360  235.68590   0.3714 
  36  0.00182   0.3833   0.0375  236.75216   0.3833 
  37  0.00187   0.3953   0.0390  237.74630   0.3953 
  38  0.00192   0.4073   0.0406  238.66801   0.4073 
  39  0.00197   0.4194   0.0422  239.51703   0.4194 
  40  0.00202   0.4314   0.0439  240.29309   0.4314 
  41  0.00207   0.4436   0.0457  240.99596   0.4436 
  42  0.00212   0.4557   0.0476  241.62541   0.4557 
  43  0.00217   0.4679   0.0496  242.18126   0.4679 
  44  0.00222   0.4801   0.0517  242.66334   0.4801 
  45  0.00227   0.4923   0.0539  243.07151   0.4923 
  46  0.00232   0.5045   0.0562  243.40563   0.5045 
  47  0.00237   0.5168   0.0586  243.66561   0.5168 
  48  0.00242   0.5290   0.0611  243.85136   0.5290 
  49  0.00247   0.5413   0.0638  243.96284   0.5413 
  50  0.00253   0.5535   0.0667  244.00000   0.5535 
  51  0.00258   0.5658   0.0696  243.96284   0.5658 
  52  0.00263   0.5780   0.0728  243.85136   0.5780 
  53  0.00268   0.5902   0.0762  243.66561   0.5902 
  54  0.00273   0.6024   0.0797  243.40563   0.6024 
  55  0.00278   0.6146   0.0834  243.07151   0.6146 
  56  0.00283   0.6268   0.0873  242.66334   0.6268 
  57  0.00288   0.6389   0.0915  242.18126   0.6389 
  58  0.00293   0.6510   0.0959  241.62541   0.6510 
  59  0.00298   0.6631   0.1005  240.99596   0.6631 
  60  0.00303   0.6751   0.1054  240.29309   0.6751 
  61  0.00308   0.6870   0.1105  239.51703   0.6870 
  62  0.00313   0.6990   0.1159  238.66801   0.6990 
  63  0.00318   0.7108   0.1216  237.74630   0.7108 
  64  0.00323   0.7227   0.1275  236.75216   0.7227 
  65  0.00328   0.7344   0.1338  235.68590   0.7344 
  66  0.00333   0.7461   0.1404  234.54785   0.7461 
  67  0.00338   0.7577   0.1472  233.33836   0.7577 
  68  0.00343   0.7693   0.1544  232.05779   0.7693 
  69  0.00348   0.7808   0.1620  230.70653   0.7808 
  70  0.00354   0.7921   0.1698  229.28500   0.7921 
  71  0.00359   0.8035   0.1780  227.79362   0.8035 
  72  0.00364   0.8147   0.1866  226.23286   0.8147 
  73  0.00369   0.8258   0.1955  224.60318   0.8258 
  74  0.00374   0.8368   0.2048  222.90509   0.8368 
  75  0.00379   0.8478   0.2144  221.13910   0.8478 
  76  0.00384   0.8586   0.2243  219.30575   0.8586 
  77  0.00389   0.8693   0.2347  217.40559   0.8693 
  78  0.00394   0.8799   0.2454  215.43921   0.8799 
  79  0.00399   0.8904   0.2564  213.40721   0.8904 
  80  0.00404   0.9008   0.2678  211.31020   0.9008 
  81  0.00409   0.9110   0.2796  209.14882   0.9110 
  82  0.00414   0.9212   0.2917  206.92374   0.9212 
  83  0.00419   0.9312   0.3041  204.63562   0.9312 
  84  0.00424   0.9410   0.3169  202.28517   0.9410 
  85  0.00429   0.9507   0.3300  199.87310   0.9507 
  86  0.00434   0.9603   0.3434  197.40015   0.9603 
  87  0.00439   0.9698   0.3571  194.86706   0.9698 
  88  0.00444   0.9791   0.3710  192.27462   0.9791 
  89  0.00449   0.9882   0.3853  189.62361   0.9882 
  90  0.00455   0.9972   0.3998  186.91484   0.9972 
  91  0.00460   1.0060   0.4145  184.14914   1.0060 
  92  0.00465   1.0147   0.4295  181.32734   1.0147 
  93  0.00470   1.0232   0.4446  178.45030   1.0232 
  94  0.00475   1.0316   0.4600  175.51891   1.0316 
  95  0.00480   1.0398   0.4755  172.53405   1.0398 
